t1_win_rate,t1_recent_win_rate,t1_titles,t1_toss_win_rate,t1_toss2win_rate,t1_seasons,t2_win_rate,t2_recent_win_rate,t2_titles,t2_toss_win_rate,t2_toss2win_rate,t2_seasons,toss_winner_is_t1,team1_wins,team1,team2,season
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,0,Chennai Super Kings,Mumbai Indians,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,0,Kolkata Knight Riders,Delhi Daredevils,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,1,Pune Warriors,Mumbai Indians,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,0,1,Rajasthan Royals,Kings XI Punjab,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,1,Royal Challengers Bangalore,Delhi Daredevils,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4167,0.4167,0.0,0.5667,0.5,3.0,0,1,Chennai Super Kings,Deccan Chargers,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,0,1,Rajasthan Royals,Kolkata Knight Riders,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,1,1,Pune Warriors,Kings XI Punjab,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,1,0,Deccan Chargers,Mumbai Indians,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,0,1,Kolkata Knight Riders,Royal Challengers Bangalore,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,0,Chennai Super Kings,Delhi Daredevils,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.5357,0.5357,1.0,0.5,0.6429,3.0,0,1,Mumbai Indians,Rajasthan Royals,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,1,0,Royal Challengers Bangalore,Chennai Super Kings,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,0,0,Pune Warriors,Kings XI Punjab,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,0,Rajasthan Royals,Kolkata Knight Riders,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,0,Deccan Chargers,Delhi Daredevils,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,0,Chennai Super Kings,Pune Warriors,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,0,1,Kings XI Punjab,Kolkata Knight Riders,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,1,1,Rajasthan Royals,Royal Challengers Bangalore,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,0,Mumbai Indians,Delhi Daredevils,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.5357,0.5357,1.0,0.5,0.6429,3.0,1,0,Deccan Chargers,Rajasthan Royals,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.5,0.5,0.0,0.4032,0.52,3.0,1,0,Pune Warriors,Royal Challengers Bangalore,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,0,Kings XI Punjab,Kolkata Knight Riders,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,0,Deccan Chargers,Delhi Daredevils,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,0,1,Chennai Super Kings,Pune Warriors,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,0,0,Kings XI Punjab,Royal Challengers Bangalore,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,1,0,Rajasthan Royals,Chennai Super Kings,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,1,Pune Warriors,Delhi Daredevils,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,1,0,Mumbai Indians,Kings XI Punjab,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,0,0,Deccan Chargers,Kolkata Knight Riders,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.5357,0.5357,1.0,0.5,0.6429,3.0,0,1,Royal Challengers Bangalore,Rajasthan Royals,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,0,Pune Warriors,Delhi Daredevils,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,1,0,Kings XI Punjab,Mumbai Indians,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Deccan Chargers,Pune Warriors,2012
0.4912,0.4912,0.0,0.5614,0.5,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,1,Delhi Daredevils,Mumbai Indians,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,1,1,Kings XI Punjab,Chennai Super Kings,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,2012
0.4912,0.4912,0.0,0.5614,0.5,3.0,0.5357,0.5357,1.0,0.5,0.6429,3.0,1,1,Delhi Daredevils,Rajasthan Royals,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,0,Deccan Chargers,Mumbai Indians,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,0,Chennai Super Kings,Kolkata Knight Riders,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Deccan Chargers,Pune Warriors,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,0,Rajasthan Royals,Delhi Daredevils,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Mumbai Indians,Pune Warriors,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4167,0.4167,0.0,0.5667,0.5,3.0,1,1,Chennai Super Kings,Deccan Chargers,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Kolkata Knight Riders,Pune Warriors,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,1,1,Rajasthan Royals,Kings XI Punjab,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,0,Chennai Super Kings,Mumbai Indians,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,0,0,Deccan Chargers,Royal Challengers Bangalore,2012
0.4912,0.4912,0.0,0.5614,0.5,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,0,Delhi Daredevils,Kolkata Knight Riders,2012
0.2857,0.2857,0.0,0.3571,0.0,1.0,0.5357,0.5357,1.0,0.5,0.6429,3.0,1,0,Pune Warriors,Rajasthan Royals,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.4167,0.4167,0.0,0.5667,0.5,3.0,0,1,Kings XI Punjab,Deccan Chargers,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,0,0,Mumbai Indians,Royal Challengers Bangalore,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,0,0,Rajasthan Royals,Chennai Super Kings,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,0,1,Royal Challengers Bangalore,Pune Warriors,2012
0.5593,0.5593,0.0,0.4915,0.5517,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,1,Mumbai Indians,Kolkata Knight Riders,2012
0.4912,0.4912,0.0,0.5614,0.5,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,0,0,Delhi Daredevils,Chennai Super Kings,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Rajasthan Royals,Pune Warriors,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,1,0,Deccan Chargers,Kings XI Punjab,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,0,Royal Challengers Bangalore,Mumbai Indians,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.5968,0.5968,2.0,0.5,0.6452,3.0,0,0,Kolkata Knight Riders,Chennai Super Kings,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,0,Kings XI Punjab,Delhi Daredevils,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,1,Kolkata Knight Riders,Mumbai Indians,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4737,0.4737,0.0,0.5088,0.4138,3.0,0,0,Chennai Super Kings,Kings XI Punjab,2012
0.5,0.5,0.0,0.4032,0.52,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,1,Royal Challengers Bangalore,Delhi Daredevils,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.4167,0.4167,0.0,0.5667,0.5,3.0,1,0,Rajasthan Royals,Deccan Chargers,2012
0.4737,0.4737,0.0,0.5088,0.4138,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,0,Kings XI Punjab,Delhi Daredevils,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.2857,0.2857,0.0,0.3571,0.0,1.0,1,1,Kolkata Knight Riders,Pune Warriors,2012
0.4167,0.4167,0.0,0.5667,0.5,3.0,0.5,0.5,0.0,0.4032,0.52,3.0,0,1,Deccan Chargers,Royal Challengers Bangalore,2012
0.5357,0.5357,1.0,0.5,0.6429,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,1,0,Rajasthan Royals,Mumbai Indians,2012
0.4364,0.4364,0.0,0.4909,0.5185,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,1,1,Kolkata Knight Riders,Delhi Daredevils,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.5593,0.5593,0.0,0.4915,0.5517,3.0,0,1,Chennai Super Kings,Mumbai Indians,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4912,0.4912,0.0,0.5614,0.5,3.0,0,1,Chennai Super Kings,Delhi Daredevils,2012
0.5968,0.5968,2.0,0.5,0.6452,3.0,0.4364,0.4364,0.0,0.4909,0.5185,3.0,1,0,Chennai Super Kings,Kolkata Knight Riders,2012
0.52,0.5246,0.0,0.56,0.5,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,0,Delhi Daredevils,Kolkata Knight Riders,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,0,1,Royal Challengers Bangalore,Mumbai Indians,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Rajasthan Royals,Delhi Daredevils,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Mumbai Indians,Chennai Super Kings,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,1,0,Pune Warriors,Kings XI Punjab,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Rajasthan Royals,Kolkata Knight Riders,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Mumbai Indians,Delhi Daredevils,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,0,0,Kings XI Punjab,Chennai Super Kings,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.5065,0.5556,0.0,0.4026,0.5161,4.0,0,0,Kolkata Knight Riders,Royal Challengers Bangalore,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,0,Rajasthan Royals,Pune Warriors,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Mumbai Indians,Pune Warriors,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,0,0,Royal Challengers Bangalore,Chennai Super Kings,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Kings XI Punjab,Rajasthan Royals,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Pune Warriors,Chennai Super Kings,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Kings XI Punjab,Kolkata Knight Riders,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.5065,0.5556,0.0,0.4026,0.5161,4.0,0,0,Delhi Daredevils,Royal Challengers Bangalore,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,1,Rajasthan Royals,Mumbai Indians,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Chennai Super Kings,Delhi Daredevils,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,0,Kolkata Knight Riders,Chennai Super Kings,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5065,0.5556,0.0,0.4026,0.5161,4.0,0,0,Rajasthan Royals,Royal Challengers Bangalore,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,0,Mumbai Indians,Delhi Daredevils,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Pune Warriors,Kings XI Punjab,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,0,Rajasthan Royals,Chennai Super Kings,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,0,1,Royal Challengers Bangalore,Pune Warriors,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,0,1,Kings XI Punjab,Delhi Daredevils,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Kolkata Knight Riders,Mumbai Indians,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,0,Kings XI Punjab,Kolkata Knight Riders,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5065,0.5556,0.0,0.4026,0.5161,4.0,1,1,Mumbai Indians,Royal Challengers Bangalore,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Chennai Super Kings,Kolkata Knight Riders,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,0,1,Delhi Daredevils,Pune Warriors,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Royal Challengers Bangalore,Rajasthan Royals,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,1,1,Mumbai Indians,Kings XI Punjab,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Chennai Super Kings,Pune Warriors,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,0,Kolkata Knight Riders,Delhi Daredevils,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,1,1,Chennai Super Kings,Kings XI Punjab,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Royal Challengers Bangalore,Pune Warriors,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,0,Rajasthan Royals,Kolkata Knight Riders,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Mumbai Indians,Chennai Super Kings,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,1,0,Pune Warriors,Rajasthan Royals,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,1,0,Delhi Daredevils,Rajasthan Royals,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,1,Mumbai Indians,Kolkata Knight Riders,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Kings XI Punjab,Rajasthan Royals,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Kolkata Knight Riders,Pune Warriors,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,0,1,Royal Challengers Bangalore,Delhi Daredevils,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Pune Warriors,Mumbai Indians,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Chennai Super Kings,Rajasthan Royals,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Delhi Daredevils,Kings XI Punjab,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Pune Warriors,Kolkata Knight Riders,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Chennai Super Kings,Delhi Daredevils,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,1,Mumbai Indians,Rajasthan Royals,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,0,1,Kings XI Punjab,Mumbai Indians,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,1,Pune Warriors,Delhi Daredevils,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,0,1,Royal Challengers Bangalore,Chennai Super Kings,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,1,Chennai Super Kings,Mumbai Indians,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Rajasthan Royals,Mumbai Indians,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Mumbai Indians,Chennai Super Kings,2013
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,1,1,Kolkata Knight Riders,Mumbai Indians,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Delhi Daredevils,Royal Challengers Bangalore,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,1,0,Chennai Super Kings,Kings XI Punjab,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Sunrisers Hyderabad,Rajasthan Royals,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Mumbai Indians,Royal Challengers Bangalore,2014
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,0,Kolkata Knight Riders,Delhi Daredevils,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,0,0,Rajasthan Royals,Kings XI Punjab,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,1,Chennai Super Kings,Delhi Daredevils,2014
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.5294,0.5294,0.0,0.4118,0.1429,1.0,0,1,Kings XI Punjab,Sunrisers Hyderabad,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,1,Chennai Super Kings,Rajasthan Royals,2014
0.4773,0.5417,1.0,0.5227,0.5,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,1,Kolkata Knight Riders,Royal Challengers Bangalore,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,1,Sunrisers Hyderabad,Delhi Daredevils,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,1,0,Mumbai Indians,Chennai Super Kings,2014
0.5054,0.5532,0.0,0.3871,0.5278,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Royal Challengers Bangalore,Rajasthan Royals,2014
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,0,1,Kings XI Punjab,Kolkata Knight Riders,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,0,Mumbai Indians,Delhi Daredevils,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,1,0,Sunrisers Hyderabad,Chennai Super Kings,2014
0.5054,0.5532,0.0,0.3871,0.5278,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,1,0,Rajasthan Royals,Kolkata Knight Riders,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,0,1,Sunrisers Hyderabad,Mumbai Indians,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,1,1,Chennai Super Kings,Kolkata Knight Riders,2014
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,1,0,Kings XI Punjab,Mumbai Indians,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Delhi Daredevils,Rajasthan Royals,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,0,1,Rajasthan Royals,Kolkata Knight Riders,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,0,0,Delhi Daredevils,Chennai Super Kings,2014
